# INVENTARIO_VERIFICADO=142 ARCHIVOS_A_EJECUTAR=127 NODE=v22.22.2 FECHA_UTC=2026-09-20T09:27:59Z
ruta	clasificacion	codigo_salida	duracion_ms	ultima_marca	resultado_final
tests/pm12/p05-ajustes-trazables-contract.mjs	active_contract	0	104ms	REPLAY_SIN_DUPLICAR=1	PASS
tests/pm12/p06-cancelacion-conservadora-contract.mjs	active_contract	0	120ms	LEGADOS_CONSERVADORES=1	PASS
tests/pm12/p07-permisos-aislamiento-ajustes-contract.mjs	active_contract	0	112ms	TRAZABILIDAD_ACTOR_CONTEXTO=1	PASS
tests/pm12/p08-fallos-replay-concurrencia-contract.mjs	active_contract	0	99ms	REPLAY_PARCIAL_FAIL_CLOSED=1	PASS
tests/pm12/p08-instancias-fallos-contract.mjs	active_contract	0	106ms	source-recovery/fuente-recuperado.js: P08_SHARED_IDS_FAILURES_REENTRANCY_LOST_RESPONSE=PASS	PASS
tests/pm12/p09-aplicar-index.mjs	utility	0	46ms	P09_INDEX_YA_INTEGRADO=PASS	PASS
tests/pm12/p09-historial-informes-movil-contract.mjs	active_contract	0	75ms	P09_SOLO_PRESENTACION_SIN_ESCRITURAS=PASS	PASS
tests/pm12/p10-preview-smoke-contract.mjs	active_contract	0	55ms	P10_INDEX_ASSETS_PM12=PASS	PASS
tests/pm13/p01-altas-bajas-personal-contract.mjs	active_contract	0	104ms	PM13 P01 altas/bajas personal: contrato frontend+RPC OK	PASS
tests/pm13/p01-backend-personal-contract.mjs	active_contract	0	54ms	PM13 P01 backend personal: contrato OK	PASS
tests/pm13/p01-diagnostico-personal.mjs	diagnostic	0	92ms	}	PASS
tests/pm13/p01-rpc-personal-contract.mjs	active_contract	0	103ms	PM13 P01 RPC híbrido: contrato OK	PASS
tests/pm13/p02-diagnostico-turnos.mjs	diagnostic	0	82ms	}	PASS
tests/pm13/p02-turnos-contract.mjs	active_contract	0	84ms	UI_NO_CIERRA_EN_ERROR=1	PASS
tests/pm13/p03-backend-fichajes-contract.mjs	active_contract	0	54ms	CORRECCION_ANULACION_TRAZABLE=1	PASS
tests/pm13/p03-diagnostico-fichajes.mjs	diagnostic	0	83ms	}	PASS
tests/pm13/p03-fichajes-contract.mjs	active_contract	0	104ms	UI_FAIL_CLOSED=1	PASS
tests/pm13/p04-ausencias-contract.mjs	active_contract	0	82ms	UI_FAIL_CLOSED=1	PASS
tests/pm13/p04-backend-ausencias-contract.mjs	active_contract	0	52ms	SIN_DDL_DESTRUCTIVO=1	PASS
tests/pm13/p04-diagnostico-ausencias.mjs	diagnostic	0	101ms	}	PASS
tests/pm13/p05-vacaciones-contract.mjs	active_contract	0	86ms	SIN_DERIVA_ZONA_HORARIA=1	PASS
tests/pm13/p06-costes-personal-contract.mjs	active_contract	0	90ms	RESULTADOS_PERIODO=1	PASS
tests/pm13/p07-diagnostico-ia-nominas.mjs	diagnostic	0	181ms	{"hasCrearLogicaNominas":true,"hasImportarNomina":true,"hasAprobarNominaLiteral":false,"hasRevisionHumanaLiteral":true,"hasBorrador":true,"hasSinteticaLiteral":false,"hasSimuladaLiteral":true,"hasIAVisible":true}	PASS
tests/pm13/p07-ia-nominas-revision-contract.mjs	active_contract	0	91ms	COSTES_EXCLUYEN_ANULADAS=1	PASS
tests/pm14/p01-encargos-identidad-contract.mjs	active_contract	0	84ms	PM14 P01 Encargos — identidad estable (empresaId/total): contrato OK	PASS
tests/pm14/p02-encargos-frontend-contract.mjs	active_contract	0	6097ms	PM14 P02 Encargos — enganche frontend (RPC anticipo/saldo): contrato OK	PASS
tests/pm14/p03-encargos-entrega-contract.mjs	active_contract	0	87ms	PM14 P03 Encargos — entrega atómica, idempotente y con local real: contrato OK	PASS
tests/pm14/p04-encargos-cancelacion-contract.mjs	active_contract	0	84ms	PM14 P04 Encargos — cancelación trazable, no destructiva: contrato OK	PASS
tests/pm14/p05-encargos-devolucion-contract.mjs	active_contract	0	90ms	PM14 P05 Encargos — devolución de lo entregado, trazable e idempotente: contrato OK	PASS
tests/pm14/p06-clientes-aislamiento-contract.mjs	active_contract	0	92ms	PM14 P06 Clientes — aislamiento por empresa y anonimización: contrato OK	PASS
